TF,type,Promoter,TF Gene Name,Promoter Gene Name,NUE #,TF Family,T-DNA?
AGL8,PD,AT5G07440,AGL8,GDH2,NUE017,MADS,
ANAC032,PD,AT5G41410,ANAC032,BEL1,NUE076,NAC,x
ANAC032,PD,AT5G13110,ANAC032,G6PD2,NUE023,NAC,x
ANAC032,PD,AT5G07440,ANAC032,GDH2,NUE017,NAC,x
ANAC032,PD,AT4G24020,ANAC032,NLP7,NUE063,NAC,x
ANR1,PD,AT5G07440,ANR1,GDH2,NUE017,MADS,
AT1G01010,PD,AT2G38290,ANAC001,AMT2,NUE009,NAC,
AT1G01060,PD,AT1G72330,LHY,ALAAT2,NUE030,MYB,
AT1G02220,PD,AT1G72330,ANAC003,ALAAT2,NUE030,NAC,
AT1G02220,PD,AT2G38290,ANAC003,AMT2,NUE009,NAC,
AT1G02340,PD,AT5G66320,HFR1,GATA5,NUE118,BHLH,
AT1G02340,PD,AT5G67420,HFR1,LBD37,NUE071,BHLH,
AT1G03840,PD,AT1G77450,MGP,ANAC032,NUE083,C2H2,
AT1G03840,PD,AT2G31955,MGP,CNX2,NUE120,C2H2,
AT1G03840,PD,AT2G25930,MGP,ELF3,NUE131,C2H2,
AT1G04880,PD,AT5G60910,HMGB15,AGL8,NUE050,ARID,
AT1G04880,PD,AT2G14210,HMGB15,ANR1,NUE048,ARID,x
AT1G04880,PD,AT1G69850,HMGB15,NRT1.2,NUE002,ARID,x
AT1G04880,PD,AT5G41410,AT1G04880,BEL1,NUE076,ARID,x
AT1G04880,PD,AT4G24400,HMGB15,CIPK8,NUE064,ARID,x
AT1G04880,PD,AT2G31955,HMGB15,CNX2,NUE120,ARID,x
AT1G04880,PD,AT5G07440,HMGB15,GDH2,NUE017,ARID,x
AT1G04880,PD,AT1G66200,HMGB15,GLN1;2,NUE014,ARID,x
AT1G04880,PD,AT5G67420,HMGB15,LBD37,NUE071,ARID,x
AT1G04880,PD,AT3G47520,HMGB15,MDH,NUE022,ARID,x
AT1G04880,PD,AT1G56010,HMGB15,NAC1,NAC1,ARID,x
AT1G04880,PD,AT1G54160,HMGB15,NF-YA5,NF-YA5,ARID,x
AT1G04880,PD,AT1G77760,HMGB15,NIA1,NUE010,ARID,x
AT1G04880,PD,AT2G15620,HMGB15,NIR1,NUE012,ARID,x
AT1G04880,PD,AT1G02860,HMGB15,NLA,NUE060,ARID,x
AT1G04880,PD,AT1G64530,AT1G04880,NLP6,NUE132,ARID,x
AT1G04880,PD,AT4G24020,HMGB15,NLP7,NUE063,ARID,x
AT1G04880,PD,AT1G12110,HMGB15,NRT1.1,NUE001,ARID,x
AT1G04880,PD,AT4G24620,HMGB15,PGI1,NUE029,ARID,x
AT1G04880,PD,AT5G57390,HMGB15,PLT5,NUE117,ARID,x
AT1G04880,PD,AT5G50200,HMGB15,NRT3.1,NUE007,ARID,x
AT1G05380,PD,AT2G46830,AT1G05380,CCA1,NUE111,PHD,
AT1G05805,PD,AT3G47340,BHLH128,ASN1,NUE018,BHLH,
AT1G06070,PD,AT1G30330,AT1G06070,ARF6,ARF6,BZIP,
AT1G07520,PD,AT1G02860,AT1G07520,NLA,NUE060,GRAS,
AT1G07980,PD,AT5G07440,NF-YC10,GDH2,NUE017,CCAAT-HAP5,
AT1G10120,PD,AT5G41410,AT1G10120,BEL1,NUE076,BHLH,
AT1G10480,PD,AT5G37020,ZFP5,ARF8,ARF8,C2H2,
AT1G12260,PD,AT5G07440,VND4,GDH2,NUE017,NAC,
AT1G12260,PD,AT5G53460,VND4,GLT1,NUE016,NAC,
AT1G12260,PD,AT1G66200,VND4,GLN1;2,NUE014,NAC,
AT1G12260,PD,AT3G47520,VND4,MDH,NUE022,NAC,
AT1G12610,PD,AT1G12820,DDF1,AFB3,AFB3,AP2/EREBP,x
AT1G12610,PD,AT5G65010,DDF1,ASN2,NUE019,AP2/EREBP,x
AT1G12610,PD,AT5G41410,DDF1,BEL1,NUE076,AP2/EREBP,x
AT1G12610,PD,AT2G46830,DDF1,CCA1,NUE111,AP2/EREBP,x
AT1G12610,PD,AT4G24400,DDF1,CIPK8,NUE064,AP2/EREBP,x
AT1G12610,PD,AT2G31955,DDF1,CNX2,NUE120,AP2/EREBP,x
AT1G12610,PD,AT4G01120,DDF1,GBF2,GBF2,AP2/EREBP,x
AT1G12610,PD,AT5G07440,DDF1,GDH2,NUE017,AP2/EREBP,x
AT1G12610,PD,AT1G66200,DDF1,GLN1;2,NUE014,AP2/EREBP,x
AT1G12610,PD,AT5G67420,DDF1,LBD37,NUE071,AP2/EREBP,x
AT1G12610,PD,AT3G47520,DDF1,MDH,NUE022,AP2/EREBP,x
AT1G12610,PD,AT1G56010,DDF1,NAC1,NAC1,AP2/EREBP,x
AT1G12610,PD,AT1G54160,DDF1,NF-YA5,NF-YA5,AP2/EREBP,x
AT1G12610,PD,AT1G77760,DDF1,NIA1,NUE010,AP2/EREBP,x
AT1G12610,PD,AT1G02860,DDF1,NLA,NUE060,AP2/EREBP,x
AT1G12610,PD,AT1G64530,DDF1,NLP6,NUE132,AP2/EREBP,x
AT1G12610,PD,AT1G12110,DDF1,NRT1.1,NUE001,AP2/EREBP,x
AT1G12610,PD,AT1G78050,DDF1,PGM1,NUE124,AP2/EREBP,x
AT1G12610,PD,AT5G57390,DDF1,PLT5,NUE117,AP2/EREBP,x
AT1G12610,PD,AT5G50200,DDF1,NRT3.1,NUE007,AP2/EREBP,x
AT1G12630,PD,AT2G14210,ERF027,ANR1,NUE048,AP2/EREBP,
AT1G12630,PD,AT4G24400,ERF027,CIPK8,NUE064,AP2/EREBP,
AT1G12630,PD,AT2G31955,ERF027,CNX2,NUE120,AP2/EREBP,
AT1G12630,PD,AT1G66200,ERF027,GLN1;2,NUE014,AP2/EREBP,
AT1G12630,PD,AT3G47520,ERF027,MDH,NUE022,AP2/EREBP,
AT1G12630,PD,AT1G64530,AT1G12630,NLP6,NUE132,AP2/EREBP,
AT1G12630,PD,AT1G12110,ERF027,NRT1.1,NUE001,AP2/EREBP,
AT1G12630,PD,AT5G57390,ERF027,PLT5,NUE117,AP2/EREBP,
AT1G12630,PD,AT5G50200,ERF027,NRT3.1,NUE007,AP2/EREBP,
AT1G13260,PD,AT3G47520,RAV1,MDH,NUE022,AP2/EREBP,
AT1G13260,PD,AT1G02860,RAV1,NLA,NUE060,AP2/EREBP,
AT1G13960,PD,AT1G72330,WRKY4,ALAAT2,NUE030,WRKY,
AT1G13960,PD,AT5G37020,WRKY4,ARF8,ARF8,WRKY,
AT1G13960,PD,AT5G41410,WRKY4,BEL1,NUE076,WRKY,
AT1G13960,PD,AT5G07440,WRKY4,GDH2,NUE017,,
AT1G14350,PD,AT1G66200,FLP,GLN1;2,NUE014,MYB,
AT1G14350,PD,AT3G47520,FLP,MDH,NUE022,MYB,
AT1G14350,PD,AT4G24620,FLP,PGI1,NUE029,MYB,
AT1G14510,PD,AT2G38290,AL7,AMT2,NUE009,ALFIN-LIKE,
AT1G14580,PD,AT1G77450,AT1G14580,ANAC032,NUE083,C2H2,
AT1G14580,PD,AT2G25930,AT1G14580,ELF3,NUE131,C2H2,
AT1G14580,PD,AT4G24020,AT1G14580,NLP7,NUE063,C2H2,
AT1G14580,PD,AT1G78050,AT1G14580,PGM1,NUE124,C2H2,
AT1G16530,PD,AT1G72330,LBD3,ALAAT2,NUE030,,x
AT1G16530,PD,AT1G64780,LBD3,AMT1;2,NUE008,,x
AT1G16530,PD,AT1G77450,LBD3,ANAC032,NUE083,,x
AT1G16530,PD,AT3G47340,LBD3,ASN1,NUE018,,x
AT1G16530,PD,AT5G65010,LBD3,ASN2,NUE019,,x
AT1G16530,PD,AT2G38290,LBD3,AMT2,NUE009,,x
AT1G16530,PD,AT1G69850,LBD3,NRT1.2,NUE002,,x
AT1G16530,PD,AT3G14940,LBD3,PPC3,NUE021,,x
AT1G16530,PD,AT1G73870,LBD3,BBX16,NUE084,,x
AT1G16530,PD,AT5G41410,LBD3,BEL1,NUE076,,x
AT1G16530,PD,AT2G31955,LBD3,CNX2,NUE120,,x
AT1G16530,PD,AT2G25930,LBD3,ELF3,NUE131,,x
AT1G16530,PD,AT5G13110,LBD3,G6PD2,NUE023,,x
AT1G16530,PD,AT1G24280,LBD3,G6PD3,NUE024,,x
AT1G16530,PD,AT5G66320,LBD3,GATA5,NUE118,,x
AT1G16530,PD,AT5G07440,LBD3,GDH2,NUE017,,x
AT1G16530,PD,AT3G17820,LBD3,GLN1;3,NUE112,,x
AT1G16530,PD,AT5G35630,LBD3,GS2,NUE015,,x
AT1G16530,PD,AT1G66200,LBD3,GLN1;2,NUE014,,x
AT1G16530,PD,AT5G11260,LBD3,HY5,NUE101,,x
AT1G16530,PD,AT4G35260,LBD3,IDH1,NUE020,,x
AT1G16530,PD,AT3G47520,LBD3,MDH,NUE022,,x
AT1G16530,PD,AT1G77760,LBD3,NIA1,NUE010,,x
AT1G16530,PD,AT1G64530,LBD3,NLP6,NUE132,,x
AT1G16530,PD,AT4G24020,LBD3,NLP7,NUE063,,x
AT1G16530,PD,AT1G08090,LBD3,NRT2.1,NUE004,,x
AT1G16530,PD,AT4G24620,LBD3,PGI1,NUE029,,x
AT1G16530,PD,AT1G78050,LBD3,PGM1,NUE124,,x
AT1G16530,PD,AT5G57390,LBD3,PLT5,NUE117,,x
AT1G16530,PD,AT4G05390,LBD3,RFNR2,NUE130,,x
AT1G16530,PD,AT3G60750,LBD3,TKL,NUE027,,x
AT1G16530,PD,AT5G40850,LBD3,UPM1,NUE013,,x
AT1G16530,PD,AT5G50200,LBD3,NRT3.1,NUE007,,x
AT1G17520,PD,AT1G64530,AT1G17520,NLP6,NUE132,MYB,
AT1G19220,PD,AT4G04955,ARF19,ALN,NUE126,ARF,
AT1G19220,PD,AT5G07440,ARF19,GDH2,NUE017,ARF,
AT1G20700,PD,AT1G72330,WOX14,ALAAT2,NUE030,HB,x
AT1G20700,PD,AT5G65010,WOX14,ASN2,NUE019,HB,x
AT1G20700,PD,AT4G24400,WOX14,CIPK8,NUE064,HB,x
AT1G20700,PD,AT2G31955,WOX14,CNX2,NUE120,HB,x
AT1G20700,PD,AT2G25930,WOX14,ELF3,NUE131,HB,x
AT1G20700,PD,AT5G07440,WOX14,GDH2,NUE017,HB,x
AT1G20700,PD,AT1G66200,WOX14,GLN1;2,NUE014,HB,x
AT1G20910,PD,AT1G72330,ARID6,ALAAT2,NUE030,ARID,
AT1G20910,PD,AT3G47340,ARID6,ASN1,NUE018,ARID,
AT1G20910,PD,AT3G14940,ARID6,PPC3,NUE021,ARID,
AT1G20910,PD,AT2G31955,ARID6,CNX2,NUE120,ARID,
AT1G20910,PD,AT5G07440,ARID6,GDH2,NUE017,ARID,
AT1G21910,PD,AT1G77450,DREB26,ANAC032,NUE083,AP2/EREBP,
AT1G21910,PD,AT2G14210,DREB26,ANR1,NUE048,AP2/EREBP,
