Promoter,Promoter name,TF,TF name,Confidence,Expression
AT1G09610,GXM3,AT5G61590,AT5G61590,1,"p, ppp, x, cc"
AT1G09610,GXM3,AT5G44210,ERF9,1,"p, xpp, ppp, x"
AT1G09610,GXM3,AT3G27010,TCP20,1,x
AT1G09610,GXM3,AT1G71130,CRF8,1,entire stele
AT1G09610,GXM3,AT1G61730,AT1G61730,1,entire stele
AT1G09610,GXM3,AT5G13910,LEP,1,entire stele
AT1G09610,GXM3,AT1G50640,ERF3,1,entire stele
AT1G12840,DET3,AT3G21175,ZML1,1,"p, xpp,  ppp, x, cc"
AT1G12840,DET3,AT1G61730,AT1G61730,1,entire stele
AT1G15950,CCR1,AT2G44730,AT2G44730,1,"ppp, x"
AT1G15950,CCR1,AT3G06590,AT3G06590,1,entire stele
AT1G15950,CCR1,AT1G61730,AT1G61730,1,entire stele
AT1G15950,CCR1,AT2G29660,AT2G29660,1,entire stele
AT1G15950,CCR1,AT5G47220,ERF2,1,entire stele
AT1G17950,MYB52,AT5G44210,ERF9,1,"p, xpp, ppp, x"
AT1G17950,MYB52,AT1G47870,ATE2F2,1,"xpp, ppp, x"
AT1G17950,MYB52,AT2G21230,AT2G21230,1,"xpp, x, cc"
AT1G17950,MYB52,AT5G54680,ILR3,1,entire stele
AT1G17950,MYB52,AT1G61730,AT1G61730,1,entire stele
AT1G27380,RIC2,AT4G28500,NAC073,1,"p, x"
AT1G27380,RIC2,AT2G21230,AT2G21230,1,"xpp, x, cc"
AT1G27380,RIC2,AT5G54680,ILR3,1,entire stele
AT1G27440,GUT2/IRX10,AT1G54060,ASIL1,1,"p, xpp,  ppp, x, cc"
AT1G27440,GUT2/IRX10,AT2G44730,AT2G44730,1,"ppp, x"
AT1G27440,GUT2/IRX10,AT4G27240,AT4G27240,1,x
AT1G27440,GUT2/IRX10,AT4G37260,MYB73,1,entire stele
AT1G27440,GUT2/IRX10,AT5G54680,ILR3,1,entire stele
AT1G27440,GUT2/IRX10,AT3G54810,BME3,1,entire stele
AT1G27440,GUT2/IRX10,AT3G53340,NF-YB10,1,entire stele
AT1G27440,GUT2/IRX10,AT4G26640,WRKY20,1,entire stele
AT1G27440,GUT2/IRX10,AT1G21910,DREB26,1,entire stele
AT1G27440,GUT2/IRX10,AT1G61730,AT1G61730,1,entire stele
AT1G27440,GUT2/IRX10,AT1G12610,DDF1,1,entire stele
AT1G27440,GUT2/IRX10,AT4G17570,GATA26,1,entire stele
AT1G30490,PHV,AT2G22840,GRF1,1,"p, x, cc"
AT1G30490,PHV,AT5G08190,NF-YB12,1,"p, xpp,  ppp, x, cc"
AT1G30490,PHV,AT1G47870,ATE2F2,2,"xpp, ppp, x"
AT1G30490,PHV,AT3G19290,ABF4,2,"xpp, ppp, x, cc"
AT1G30490,PHV,AT3G62100,IAA30,1,"ppp, x"
AT1G30490,PHV,AT2G44730,AT2G44730,1,"ppp, x"
AT1G30490,PHV,AT3G22760,SOL1,1,x
AT1G30490,PHV,AT5G66730,IDD1,1,entire stele
AT1G30490,PHV,AT5G63790,NAC102,2,entire stele
AT1G30490,PHV,AT5G05410,DREB2A,2,entire stele
AT1G30490,PHV,AT3G15210,ERF4,1,entire stele
AT1G30490,PHV,AT3G23210,bHLH34,1,entire stele
AT1G30490,PHV,AT1G61730,AT1G61730,2,entire stele
AT1G30490,PHV,AT2G02470,AL6,1,entire stele
AT1G30490,PHV,AT1G04100,IAA10,1,entire stele
AT1G30490,PHV,AT5G60200,TMO6,1,entire stele
AT1G30490,PHV,AT3G61850,DAG1,2,entire stele
AT1G30490,PHV,AT1G76880,AT1G76880,2,entire stele
AT1G30490,PHV,AT5G65210,TGA1,1,entire stele
AT1G30490,PHV,AT1G12610,DDF1,2,entire stele
AT1G51680,4CL1,AT1G30490,PHV,1,"p, xpp, ppp, x"
AT1G51680,4CL1,AT1G06180,MYB13,2,"xpp, x"
AT1G51680,4CL1,AT2G41070,EEL,1,"xpp, x"
AT1G51680,4CL1,AT3G08500,MYB83,2,x
AT1G51680,4CL1,AT5G18270,ANAC087,1,x
AT1G51680,4CL1,AT1G63910,AtMYB103,1,x
AT1G51680,4CL1,AT4G22680,MYB85,3,x
AT1G51680,4CL1,AT5G15210,HB30,1,x
AT1G51680,4CL1,AT1G16490,MYB58,3,x
AT1G51680,4CL1,AT5G26660,MYB86,2,x
AT1G51680,4CL1,AT4G37260,MYB73,1,entire stele
AT1G51680,4CL1,AT5G63790,NAC102,1,entire stele
AT1G51680,4CL1,AT3G57230,AGL16,1,entire stele
AT1G51680,4CL1,AT1G77450,NAC032,1,entire stele
AT1G51680,4CL1,AT1G21910,DREB26,1,entire stele
AT1G51680,4CL1,AT1G22640,MYB3,2,entire stele
AT1G51680,4CL1,AT1G61730,AT1G61730,1,entire stele
AT1G51680,4CL1,AT1G08970,NF-YC9,1,entire stele
AT1G51680,4CL1,AT5G60850,OBP4,1,entire stele
AT1G51680,4CL1,AT5G48150,PAT1,2,entire stele
AT1G51680,4CL1,AT5G60200,TMO6,1,entire stele
AT1G51680,4CL1,AT1G66230,MYB20,2,entire stele
AT1G51680,4CL1,AT1G79180,MYB63,3,entire stele
AT1G51680,4CL1,AT1G12610,DDF1,1,entire stele
AT1G51680,4CL1,AT2G47460,MYB12,2,entire stele
AT1G61820,BGLU46,AT2G22840,GRF1,1,"p, x, cc"
AT1G61820,BGLU46,AT2G45160,HAM1,1,"p, xpp, x, cc"
AT1G61820,BGLU46,AT5G44210,ERF9,1,"p, xpp, ppp, x"
AT1G61820,BGLU46,AT1G47870,ATE2F2,1,"xpp, ppp, x"
AT1G61820,BGLU46,AT3G19290,ABF4,1,"xpp, ppp, x, cc"
AT1G61820,BGLU46,AT4G01120,GBF2,1,"xpp, ppp, x, cc"
