position,gene,Element
0,MYB83,None
1,MYB83,None
2,MYB83,None
3,MYB83,None
4,MYB83,None
5,MYB83,None
6,MYB83,None
7,MYB83,None
8,MYB83,None
9,MYB83,None
10,MYB83,None
11,MYB83,None
12,MYB83,None
13,MYB83,None
14,MYB83,None
15,MYB83,None
16,MYB83,None
17,MYB83,None
18,MYB83,None
19,MYB83,None
20,MYB83,None
21,MYB83,None
22,MYB83,None
23,MYB83,None
24,MYB83,None
25,MYB83,None
26,MYB83,None
27,MYB83,None
28,MYB83,None
29,MYB83,None
30,MYB83,None
31,MYB83,None
32,MYB83,None
33,MYB83,None
34,MYB83,None
35,MYB83,None
36,MYB83,None
37,MYB83,None
38,MYB83,None
39,MYB83,None
40,MYB83,None
41,MYB83,None
42,MYB83,None
43,MYB83,None
44,MYB83,None
45,MYB83,None
46,MYB83,None
47,MYB83,None
48,MYB83,None
49,MYB83,None
50,MYB83,None
51,MYB83,None
52,MYB83,None
53,MYB83,None
54,MYB83,None
55,MYB83,None
56,MYB83,None
57,MYB83,None
58,MYB83,None
59,MYB83,None
60,MYB83,None
61,MYB83,None
62,MYB83,None
63,MYB83,None
64,MYB83,None
65,MYB83,None
66,MYB83,None
67,MYB83,None
68,MYB83,None
69,MYB83,None
70,MYB83,None
71,MYB83,None
72,MYB83,None
73,MYB83,None
74,MYB83,None
75,MYB83,None
76,MYB83,None
77,MYB83,None
78,MYB83,None
79,MYB83,None
80,MYB83,None
81,MYB83,None
82,MYB83,None
83,MYB83,None
84,MYB83,None
85,MYB83,None
86,MYB83,None
87,MYB83,None
88,MYB83,None
89,MYB83,None
90,MYB83,None
91,MYB83,None
92,MYB83,None
93,MYB83,None
94,MYB83,None
95,MYB83,None
96,MYB83,None
97,MYB83,None
98,MYB83,None
99,MYB83,None
100,MYB83,None
101,MYB83,None
102,MYB83,None
103,MYB83,None
104,MYB83,None
105,MYB83,None
106,MYB83,None
107,MYB83,None
108,MYB83,None
109,MYB83,None
110,MYB83,None
111,MYB83,None
112,MYB83,None
113,MYB83,None
114,MYB83,None
115,MYB83,None
116,MYB83,None
117,MYB83,None
118,MYB83,None
119,MYB83,None
120,MYB83,None
121,MYB83,None
122,MYB83,None
123,MYB83,None
124,MYB83,None
125,MYB83,None
126,MYB83,None
127,MYB83,None
128,MYB83,None
129,MYB83,None
130,MYB83,None
131,MYB83,None
132,MYB83,None
133,MYB83,None
134,MYB83,None
135,MYB83,None
136,MYB83,None
137,MYB83,None
138,MYB83,None
139,MYB83,None
140,MYB83,None
141,MYB83,None
142,MYB83,None
143,MYB83,None
144,MYB83,None
145,MYB83,None
146,MYB83,None
147,MYB83,None
148,MYB83,None
149,MYB83,None
150,MYB83,None
151,MYB83,None
152,MYB83,None
153,MYB83,None
154,MYB83,None
155,MYB83,None
156,MYB83,None
157,MYB83,None
158,MYB83,None
159,MYB83,None
160,MYB83,None
161,MYB83,None
162,MYB83,None
163,MYB83,None
164,MYB83,None
165,MYB83,None
166,MYB83,None
167,MYB83,None
168,MYB83,None
169,MYB83,None
170,MYB83,None
171,MYB83,None
172,MYB83,None
173,MYB83,None
174,MYB83,None
175,MYB83,None
176,MYB83,None
177,MYB83,None
178,MYB83,None
179,MYB83,None
180,MYB83,None
181,MYB83,None
182,MYB83,None
183,MYB83,None
184,MYB83,None
185,MYB83,None
186,MYB83,None
187,MYB83,None
188,MYB83,None
189,MYB83,None
190,MYB83,None
191,MYB83,None
192,MYB83,None
193,MYB83,None
194,MYB83,None
195,MYB83,None
196,MYB83,None
197,MYB83,None
198,MYB83,None
199,MYB83,None
200,MYB83,None
201,MYB83,None
202,MYB83,None
203,MYB83,None
204,MYB83,None
205,MYB83,None
206,MYB83,None
207,MYB83,None
208,MYB83,None
209,MYB83,None
210,MYB83,None
211,MYB83,None
212,MYB83,None
213,MYB83,None
214,MYB83,None
215,MYB83,None
216,MYB83,None
217,MYB83,None
218,MYB83,None
219,MYB83,None
220,MYB83,None
221,MYB83,None
222,MYB83,None
223,MYB83,None
224,MYB83,None
225,MYB83,None
226,MYB83,None
227,MYB83,None
228,MYB83,None
229,MYB83,None
230,MYB83,None
231,MYB83,None
232,MYB83,None
233,MYB83,None
234,MYB83,None
235,MYB83,None
236,MYB83,None
237,MYB83,None
238,MYB83,None
239,MYB83,None
240,MYB83,None
241,MYB83,None
242,MYB83,None
243,MYB83,None
244,MYB83,None
245,MYB83,None
246,MYB83,None
247,MYB83,None
248,MYB83,None
249,MYB83,None
250,MYB83,None
251,MYB83,SNBE
252,MYB83,SNBE
253,MYB83,SNBE
254,MYB83,SNBE
255,MYB83,SNBE
256,MYB83,SNBE
257,MYB83,SNBE
258,MYB83,SNBE
259,MYB83,SNBE
260,MYB83,SNBE
261,MYB83,SNBE
262,MYB83,SNBE
263,MYB83,SNBE
264,MYB83,SNBE
265,MYB83,SNBE
266,MYB83,SNBE
267,MYB83,SNBE
268,MYB83,SNBE
269,MYB83,SNBE
270,MYB83,None
271,MYB83,None
272,MYB83,None
273,MYB83,None
274,MYB83,None
275,MYB83,None
276,MYB83,None
277,MYB83,None
278,MYB83,None
279,MYB83,None
280,MYB83,None
281,MYB83,None
282,MYB83,None
283,MYB83,None
284,MYB83,None
285,MYB83,None
286,MYB83,None
287,MYB83,None
288,MYB83,None
289,MYB83,None
290,MYB83,None
291,MYB83,None
292,MYB83,None
293,MYB83,None
294,MYB83,None
295,MYB83,None
296,MYB83,None
297,MYB83,None
298,MYB83,None
299,MYB83,None
300,MYB83,None
301,MYB83,None
302,MYB83,None
303,MYB83,None
304,MYB83,None
305,MYB83,None
306,MYB83,None
307,MYB83,None
308,MYB83,None
309,MYB83,None
310,MYB83,None
311,MYB83,None
312,MYB83,None
313,MYB83,None
314,MYB83,None
315,MYB83,None
316,MYB83,None
317,MYB83,None
318,MYB83,None
319,MYB83,None
320,MYB83,None
321,MYB83,None
322,MYB83,None
323,MYB83,None
324,MYB83,None
325,MYB83,None
326,MYB83,None
327,MYB83,None
328,MYB83,None
329,MYB83,None
330,MYB83,None
331,MYB83,None
332,MYB83,None
333,MYB83,None
334,MYB83,None
335,MYB83,None
