position,gene,element
0,AT3G08500,no
1,AT3G08500,no
2,AT3G08500,no
3,AT3G08500,no
4,AT3G08500,no
5,AT3G08500,no
6,AT3G08500,no
7,AT3G08500,no
8,AT3G08500,no
9,AT3G08500,no
10,AT3G08500,no
11,AT3G08500,no
12,AT3G08500,no
13,AT3G08500,no
14,AT3G08500,no
15,AT3G08500,no
16,AT3G08500,no
17,AT3G08500,no
18,AT3G08500,no
19,AT3G08500,no
20,AT3G08500,no
21,AT3G08500,no
22,AT3G08500,no
23,AT3G08500,no
24,AT3G08500,no
25,AT3G08500,no
26,AT3G08500,no
27,AT3G08500,no
28,AT3G08500,no
29,AT3G08500,no
30,AT3G08500,no
31,AT3G08500,no
32,AT3G08500,no
33,AT3G08500,no
34,AT3G08500,no
35,AT3G08500,no
36,AT3G08500,no
37,AT3G08500,no
38,AT3G08500,no
39,AT3G08500,no
40,AT3G08500,no
41,AT3G08500,no
42,AT3G08500,no
43,AT3G08500,no
44,AT3G08500,no
45,AT3G08500,no
46,AT3G08500,no
47,AT3G08500,no
48,AT3G08500,no
49,AT3G08500,no
50,AT3G08500,no
51,AT3G08500,no
52,AT3G08500,no
53,AT3G08500,no
54,AT3G08500,no
55,AT3G08500,no
56,AT3G08500,no
57,AT3G08500,no
58,AT3G08500,no
59,AT3G08500,no
60,AT3G08500,no
61,AT3G08500,no
62,AT3G08500,no
63,AT3G08500,no
64,AT3G08500,no
65,AT3G08500,no
66,AT3G08500,no
67,AT3G08500,no
68,AT3G08500,no
69,AT3G08500,no
70,AT3G08500,no
71,AT3G08500,no
72,AT3G08500,no
73,AT3G08500,no
74,AT3G08500,no
75,AT3G08500,no
76,AT3G08500,no
77,AT3G08500,no
78,AT3G08500,no
79,AT3G08500,no
80,AT3G08500,no
81,AT3G08500,no
82,AT3G08500,no
83,AT3G08500,no
84,AT3G08500,no
85,AT3G08500,no
86,AT3G08500,no
87,AT3G08500,no
88,AT3G08500,no
89,AT3G08500,no
90,AT3G08500,no
91,AT3G08500,no
92,AT3G08500,no
93,AT3G08500,no
94,AT3G08500,no
95,AT3G08500,no
96,AT3G08500,no
97,AT3G08500,no
98,AT3G08500,no
99,AT3G08500,no
100,AT3G08500,no
101,AT3G08500,no
102,AT3G08500,no
103,AT3G08500,no
104,AT3G08500,no
105,AT3G08500,no
106,AT3G08500,no
107,AT3G08500,no
108,AT3G08500,no
109,AT3G08500,no
110,AT3G08500,no
111,AT3G08500,no
112,AT3G08500,no
113,AT3G08500,no
114,AT3G08500,no
115,AT3G08500,no
116,AT3G08500,no
117,AT3G08500,no
118,AT3G08500,no
119,AT3G08500,no
120,AT3G08500,no
121,AT3G08500,no
122,AT3G08500,no
123,AT3G08500,no
124,AT3G08500,no
125,AT3G08500,no
126,AT3G08500,no
127,AT3G08500,no
128,AT3G08500,no
129,AT3G08500,no
130,AT3G08500,no
131,AT3G08500,no
132,AT3G08500,no
133,AT3G08500,no
134,AT3G08500,no
135,AT3G08500,no
136,AT3G08500,no
137,AT3G08500,no
138,AT3G08500,no
139,AT3G08500,no
140,AT3G08500,no
141,AT3G08500,no
142,AT3G08500,no
143,AT3G08500,no
144,AT3G08500,no
145,AT3G08500,no
146,AT3G08500,no
147,AT3G08500,no
148,AT3G08500,no
149,AT3G08500,no
150,AT3G08500,no
151,AT3G08500,no
152,AT3G08500,no
153,AT3G08500,no
154,AT3G08500,no
155,AT3G08500,no
156,AT3G08500,no
157,AT3G08500,no
158,AT3G08500,no
159,AT3G08500,no
160,AT3G08500,no
161,AT3G08500,no
162,AT3G08500,no
163,AT3G08500,no
164,AT3G08500,no
165,AT3G08500,no
166,AT3G08500,no
167,AT3G08500,no
168,AT3G08500,no
169,AT3G08500,no
170,AT3G08500,no
171,AT3G08500,no
172,AT3G08500,no
173,AT3G08500,no
174,AT3G08500,no
175,AT3G08500,no
176,AT3G08500,no
177,AT3G08500,no
178,AT3G08500,no
179,AT3G08500,no
180,AT3G08500,no
181,AT3G08500,no
182,AT3G08500,no
183,AT3G08500,no
184,AT3G08500,no
185,AT3G08500,no
186,AT3G08500,no
187,AT3G08500,no
188,AT3G08500,no
189,AT3G08500,no
190,AT3G08500,no
191,AT3G08500,no
192,AT3G08500,no
193,AT3G08500,no
194,AT3G08500,no
195,AT3G08500,no
196,AT3G08500,no
197,AT3G08500,no
198,AT3G08500,no
199,AT3G08500,no
200,AT3G08500,no
201,AT3G08500,no
202,AT3G08500,no
203,AT3G08500,no
204,AT3G08500,no
205,AT3G08500,no
206,AT3G08500,no
207,AT3G08500,no
208,AT3G08500,no
209,AT3G08500,no
210,AT3G08500,no
211,AT3G08500,no
212,AT3G08500,no
213,AT3G08500,no
214,AT3G08500,no
215,AT3G08500,no
216,AT3G08500,no
217,AT3G08500,no
218,AT3G08500,no
219,AT3G08500,no
220,AT3G08500,no
221,AT3G08500,no
222,AT3G08500,no
223,AT3G08500,no
224,AT3G08500,no
225,AT3G08500,no
226,AT3G08500,no
227,AT3G08500,no
228,AT3G08500,no
229,AT3G08500,no
